# Constructed from biom file
#OTU ID	16S-Amostra1	16S-Amostra2	taxonomy
7d43ad53fe1a83f4d2253fa38df8ffbf	11.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
632f712701a6269e41c3ee600d0f3791	11.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides eggerthii
edc06e5f20535c71071803ccc27290d8	11.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea; s__Dorea formicigenerans
218f40f443caf002f5ad5aa59ee08859	10.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides distasonis
d4b9487f80a46f105daa14816456c5f6	10.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__TANB77; f__CAG-508; g__Merdicola; s__Merdicola sp001915925
8e121f6e82f82d6e7e2f831b9ce9e75c	10.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAG-217; s__CAG-217 sp000436335
9cdb9dbe98d86651359273ea1c595c84	10.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
b03de8408f8ac47026e0a3f8ed1bf79a	9.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Christensenellales; f__CAG-74; g__UBA11524; s__UBA11524 sp000437595
94b51e4d3cd9c11f4295019c56c54fff	9.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__SFJ001; s__SFJ001 sp004555865
17c9e56f822efd0027d5e0512b3db62c	9.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Duodenibacillus; s__Duodenibacillus sp900542805
bbecc71d1f4ddea8eb4bbd9d47d877a5	0.0	9.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
2fbd3634e0158306b8bce16dd492abdd	8.0	0.0	d__Bacteria
